# Time, Flux
2.458956117504291702e+06,9.997205646355189490e-01
2.458956138337906916e+06,9.999698294367755924e-01
2.458956159171522595e+06,9.970771085677526679e-01
2.458956180005138740e+06,9.951021650803602014e-01
2.458956200838754419e+06,9.946820354304205525e-01
2.458956221672371030e+06,9.945382932419434274e-01
2.458956242505987175e+06,9.944191625974297954e-01
2.458956263339604251e+06,9.945738565425602529e-01
2.458956284173221793e+06,9.949875364140303713e-01
2.458956305006839335e+06,9.953064054354240353e-01
2.458956325840457343e+06,9.989944739442259136e-01
2.458956346674075816e+06,9.997946638481106651e-01
2.458956367507694755e+06,9.999107401009856844e-01
2.458961742587156594e+06,9.997143704064842540e-01
2.458961763420793694e+06,9.997386399773738885e-01
2.458961784254430793e+06,9.986821086333422803e-01
2.458961805088067427e+06,9.954317154156080427e-01
2.458961825921704061e+06,9.952330269384485062e-01
2.458961846755340695e+06,9.947458466087985007e-01
2.458961867588976864e+06,9.945533596927508269e-01
2.458961888422613498e+06,9.945281956659316469e-01
2.458961909256249666e+06,9.949793592368167960e-01
2.458961930089885835e+06,9.953329078505860350e-01
2.458961950923521537e+06,9.975144262324603384e-01
2.458961971757157240e+06,9.999738818868559864e-01
2.458961992590792943e+06,1.000258736285232652e+00
2.458967388497371692e+06,9.999735424488935820e-01
2.458967409330965485e+06,9.997056478116379541e-01
2.458967430164559744e+06,9.964950270074758309e-01
2.458967450998153072e+06,9.953275586373206973e-01
2.458967471831746399e+06,9.951449416867451658e-01
2.458967492665339261e+06,9.943524747595151592e-01
2.458967513498931658e+06,9.946395935217374751e-01
2.458967534332524054e+06,9.951882004394613235e-01
2.458967555166116450e+06,9.953482101254916836e-01
2.458967575999707915e+06,9.960454039149457817e-01
2.458967596833299380e+06,9.994701783359803970e-01
2.458967617666890379e+06,1.000062336013734843e+00
2.458973013530537486e+06,9.998884549323051596e-01
2.458973034363956191e+06,9.999366830636490233e-01
2.458973055197374895e+06,9.983597768987410026e-01
2.458973076030793600e+06,9.953670749789813588e-01
2.458973096864212304e+06,9.950277266261653430e-01
