# Time, Flux
2.459421980086054653e+06,1.000004267604401642e+00
2.459421981474947184e+06,1.000418699409624246e+00
2.459421982863840181e+06,9.998362906520184001e-01
2.459421984252732713e+06,1.000372576739783970e+00
2.459421985641625710e+06,9.994594536926069139e-01
2.459421987030518241e+06,9.999879089787923059e-01
2.459421988419411238e+06,1.000234592355774277e+00
2.459421989808303770e+06,1.000251071439663519e+00
2.459421991197196301e+06,9.993369830678776600e-01
2.459421992586089298e+06,1.000039119540067967e+00
2.459421993974981830e+06,9.999751057472294757e-01
2.459421995363874827e+06,9.999762916487570097e-01
2.459421996752767358e+06,1.000000000000000000e+00
2.459421998141660355e+06,9.998332085064373098e-01
2.459421999530552886e+06,1.000121626725445800e+00
2.459422000919445418e+06,9.995100553057821857e-01
2.459422002308338415e+06,9.999256725566719739e-01
2.459422003697230946e+06,1.000291744196412536e+00
2.459422005086123943e+06,1.000228198290919357e+00
2.459422006475016475e+06,1.000101831883266179e+00
2.459422007863909006e+06,1.000107522139839888e+00
2.459422009252802003e+06,9.999117997997712948e-01
2.459422010641694535e+06,9.999376423940673497e-01
2.459422012030587066e+06,9.996038039562226141e-01
2.459422013419480063e+06,9.999506829580456779e-01
2.459422014808373060e+06,9.996969775646029621e-01
2.459422016197265126e+06,1.000494854004434719e+00
2.459422017586158123e+06,1.000170484144144778e+00
2.459422018975051120e+06,9.999216342007790637e-01
2.459422020363943186e+06,9.999260208675689876e-01
2.459422021752836183e+06,9.997605160144837910e-01
2.459422023141729180e+06,1.000161473683287117e+00
2.459422024530621711e+06,9.998022480883093088e-01
2.459422025919514243e+06,1.000115118169215611e+00
2.459422027308407240e+06,1.000065561704945871e+00
2.459422028697299771e+06,9.997506758013615658e-01
2.459422030086192768e+06,1.000062361494646224e+00
2.459422031475085299e+06,1.000001185564425299e+00
2.459422032863977831e+06,1.000085242082178416e+00
2.459422034252870828e+06,9.998768198708162247e-01
2.459422035641762894e+06,9.999765258522094191e-01
2.459422037030655891e+06,9.997123962889874482e-01
2.459422038419548888e+06,9.999830464488178583e-01
2.459422039808441419e+06,1.000125314011185207e+00
2.459422041197333951e+06,1.000677312153170906e+00
2.459422042586226948e+06,9.997021865694442067e-01
2.459422043975119479e+06,1.000043745164618247e+00
2.459422045364012010e+06,1.000004504922101578e+00
2.459422046752904542e+06,1.000355175942496677e+00
2.459422048141797539e+06,9.996931910947648436e-01
2.459422049530690536e+06,9.999071748945908000e-01
